Time (sec),Conc Ea (mol/L),Temperature (degC)
0.0,0.05,47.0
100.0,0.014239482200647247,47.0
200.0,0.007605177993527509,47.0
300.0,0.0049298813376483265,47.0
400.0,0.0034196332254584653,47.0
500.0,0.0025889967637540423,47.0
600.0,0.001974110032362458,47.0
700.0,0.0015533980582524236,47.0
800.0,0.0012081984897518842,47.0
900.0,0.0009816612729234523,47.0
1000.0,0.0007982740021575264,47.0
1100.0,0.0006256742179072258,47.0
1200.0,0.0005070118662351929,47.0
1300.0,0.00042071197411003075,47.0
1400.0,0.00033441208198489904,47.0
1500.0,0.00026968716289104544,47.0
1600.0,0.00020496224379719185,47.0
1700.0,0.0001294498381877024,47.0
1800.0,8.629989212513553e-05,47.0
1900.0,8.629989212513492e-05,47.0
2000.0,5.3937432578208126e-05,47.0
2100.0,3.23624595469268e-05,47.0
2200.0,0.0,47.0
2300.0,0.0,47.0
2400.0,0.0,47.0
